eventtype,All Events,All Events,All Events,All Events,All Events,All Events,All Events,All Events,All Events,All Events,All Events,All Events,All Events,All Events,Conference,Conference,Conference,Conference,Conference,Conference,Conference,Conference,Conference,Conference,Conference,Conference,Conference,Conference,Corporate External,Corporate External,Corporate External,Corporate External,Corporate External,Corporate External,Corporate External,Corporate External,Corporate External,Corporate External,Corporate External,Corporate External,Corporate External,Corporate External,Corporate Internal,Corporate Internal,Corporate Internal,Corporate Internal,Corporate Internal,Corporate Internal,Corporate Internal,Corporate Internal,Corporate Internal,Corporate Internal,Corporate Internal,Corporate Internal,Corporate Internal,Corporate Internal,Expo,Expo,Expo,Expo,Expo,Expo,Expo,Expo,Expo,Expo,Expo,Expo,Expo,Expo
yyyy_mm,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
pct_adoption,56.0000,68.0000,68.0000,71.0000,66.0000,63.0000,66.0000,64.0000,65.0000,67.0000,58.0000,61.0000,63.0000,68.0000,46.0000,63.0000,64.0000,59.0000,56.0000,52.0000,58.0000,60.0000,62.0000,59.0000,52.0000,56.0000,57.0000,52.0000,50.0000,70.0000,61.0000,65.0000,70.0000,66.0000,64.0000,67.0000,63.0000,54.0000,56.0000,62.0000,59.0000,60.0000,79.0000,61.0000,71.0000,72.0000,69.0000,66.0000,66.0000,63.0000,65.0000,69.0000,64.0000,65.0000,65.0000,62.0000,70.0000,70.0000,47.0000,45.0000,50.0000,50.0000,55.0000,39.0000,25.0000,44.0000,31.0000,32.0000,17.0000,40.0000
