Action,Taps,% of Total Taps
Check-In (Practice dinner - please meet at the lobby at 7pm and take a 3 mins walk to the dinner venue),3,0.02
Check-In (Lunch (on-day arrival group)),3,0.02
Bookmark Item - On (Lunch (for all morning meeting groups)),3,0.02
Bookmark Item - On (Group Cocktail reception),3,0.02
Bookmark Item - Off (Yoga (optional)),3,0.02
Bookmark Item - Off (Mix & Mingle ),3,0.02
Bookmark Item - Off (Meeting - testing for polls function),3,0.02
Bookmark Item - Off (Core Capability Affiliate Breakfast session),3,0.02
Bookmark Item - Off (Breakfast),3,0.02
Bookmark Item - Off (Breakfast ),3,0.02
Surveys to Complete - View All,2,0.01
Surveys to Complete - (Survey on Capability Product Trade Show),2,0.01
Status Update - Remove Photo (Initiate),2,0.01
Status Update - Remove Photo (Confirm),2,0.01
Rate (Plenary Session II (with lunch)) - 5 stars,2,0.01
Rate (Partner Meeting) - 4 stars,2,0.01
Rate (Meeting - testing for polls function) - 5 stars,2,0.01
Rate (Lunch (on-day arrival group)) - 5 stars,2,0.01
Rate (Industry Practice Meeting ) - 4 stars,2,0.01
Rate (Breakfast ) - 1 stars,2,0.01
Global Search (Travolta),2,0.01
Check-In (Partner Meeting),2,0.01
Bookmark Item - On (Yoga (optional)),2,0.01
Bookmark Item - On (WAB Cocktail Reception (by Invite)),2,0.01
Bookmark Item - On (NPS Guardian Meeting),2,0.01
Bookmark Item - On (Meeting - testing for polls function),2,0.01
Bookmark Item - On (Lunch (on-day arrival group)),2,0.01
Bookmark Item - On (Emergency Contacts),2,0.01
Bookmark Item - On (Breakfast (Meeting groups)),2,0.01
Bookmark Item - On (Account Planning Session (by invite): Coke - Kenji Govaers),2,0.01
Bookmark Item - Off (Principal/Manager Meeting),2,0.01
Bookmark Item - Off (Plenary Session II (with lunch)),2,0.01
Bookmark Item - Off (Partner Meeting),2,0.01
Bookmark Item - Off (Cocktail Reception & Practice Dinner),2,0.01
Bookmark Item - Off (Capability Product Trade Show (Lunch)),2,0.01
Bookmark Item - Off (Breakfast (Meeting groups)),2,0.01
Bookmark Item - Off (Bain Governance (optional)),2,0.01
URL (http://www.langhamhotels.com/en/the-langham/hong-kong/),1,0.01
Status Update - Remove Item (Initiate),1,0.01
Status Update - Remove Item (Confirm),1,0.01
Rate ('Top 10 Survival Tips at Bain  (Jimmy Allen)') - 5 stars,1,0.01
Rate (Plenary Session (I)) - 4 stars,1,0.01
Rate (OPRAH Meeting (by invite)) - 5 stars,1,0.01
Rate (N/A) - 5 stars,1,0.01
Rate (N/A) - 4 stars,1,0.01
Rate (N/A) - 1 stars,1,0.01
Rate (Mix & Mingle ) - 5 stars,1,0.01
Rate (Industry Practice Meeting ) - 5 stars,1,0.01
