Event,Start,End,Attendees Listed,% Active Attendees,% Active Attendees - Tapped Direct Messages in Menu,% Active Attendees - Sent Message,% Active Attendees - Received Message,% Active Attendees - Were Blocked,% of Attendees (Inactive + Received Message)
GE Power at PGI 2015,2015-12-08,2015-12-10,336,66.07,16.22,2.70,0.90,0.00,0.00
G and A Kickoff,2015-12-08,2015-12-12,90,86.67,29.49,7.69,3.85,0.00,0.00
Women's Voices Heard:State Legislator's Sum,2015-12-07,2015-12-09,169,16.57,42.86,3.57,0.00,0.00,0.00
FORWARD 15: Action Before Reaction,2015-12-05,2015-12-08,1247,59.82,35.66,18.36,1.34,0.00,0.24
UBS Australasia Conference,2015-11-16,2015-11-17,912,21.05,29.17,8.33,8.85,0.00,0.33
the Property Insurance Report National Conference,2015-11-15,2015-11-17,242,81.40,56.35,27.92,35.53,0.00,2.07
INSIGHT 2015,2015-11-12,2015-11-12,374,26.47,3.03,0.00,0.00,0.00,0.00
2015 North American Forum on Family Planning,2015-11-11,2015-11-16,917,66.85,13.70,1.14,1.96,0.00,0.11
Corporate Learning Week,2015-11-09,2015-11-11,238,57.98,34.78,13.04,21.01,0.00,2.52
Constellation's Connected Enterprise 2015,2015-11-04,2015-11-06,210,60.48,42.52,27.56,25.98,0.00,6.67
