Event,Start,End,Total Rooms,Messages Sent,% Rooms w/ any Messages,% Rooms w/ 2-way Conv.,% Rooms w/ 1-way Conv.,% Rooms w/ no Conv.,% Messages followed by View from Recipient,% Messages followed by Reply Sent
G and A Kickoff,2015-12-08,2015-12-12,5,5,60.00,0.00,60.00,40.00,0.00,0.00
GE Power at PGI 2015,2015-12-08,2015-12-10,5,2,40.00,0.00,40.00,60.00,0.00,0.00
FORWARD 15: Action Before Reaction,2015-12-05,2015-12-08,15,16,73.33,20.00,53.33,26.67,37.50,25.00
UBS Australasia Conference,2015-11-16,2015-11-17,28,28,64.29,10.71,53.57,35.71,14.29,14.29
the Property Insurance Report National Conference,2015-11-15,2015-11-17,149,154,51.68,17.45,34.23,48.32,58.44,38.96
2015 North American Forum on Family Planning,2015-11-11,2015-11-16,18,37,61.11,11.11,50.00,38.89,56.76,45.95
Corporate Learning Week,2015-11-09,2015-11-11,63,47,58.73,4.76,53.97,41.27,25.53,6.38
Constellation's Connected Enterprise 2015,2015-11-04,2015-11-06,101,87,54.46,6.93,47.52,45.54,20.69,11.49
