1,5176,2014-08
2,67440,2014-09
3,140496,2014-10
4,92487,2014-11
5,37067,2014-12
6,58241,2015-01
7,82192,2015-02
8,110775,2015-03
9,121095,2015-04
10,129013,2015-05
11,90957,2015-06
