Sales Pipeline,AccountID,Event Name,Opportunity Created,Opportunity Last Modified,SalesForce - Days from Create to Closed,Related Email Domain
Closed Lost,001E000000wPxKJIA0,Alpha Xi Delta Women's Fraternity - AXiD 2015 Annual Convention,2015-06-09 20:49:34,2015-10-04 21:56:34,3.0,
Closed Lost,001E000001Cm1heIAB,Holder Construction 2015 Internal Meetings,2015-06-08 17:45:21,2015-10-04 21:58:08,22.0,
Closed Lost,001E000001Clg3nIAB,Pipelines International- Events 2015,2015-06-04 08:10:14,2015-10-04 21:53:45,88.0,
Closed Lost,001E000000g1Br7IAE,Express Services - Inc. - Lunch and Learn events,2015-06-01 15:48:37,2015-10-04 21:55:09,91.0,expresspros.com
Closed Won,001E000000UM5gIIAT,IBM - Smarter Workforce Summit 2015,2015-05-21 19:07:45,2015-11-10 19:47:05,36.0,
Closed Lost,001E0000019fMJoIAM,Alliance Colorado - January Summit,2015-05-12 22:06:12,2015-10-13 16:45:31,141.0,
Closed Won,001E000000cNsKgIAK,Verizon GA/AL,2015-05-12 19:53:55,2015-10-29 17:12:43,20.0,verizonwireless.com
Closed Lost,001E000000fzE9kIAE,Deloitte - Deloitte Digital - Agency Event,2015-05-11 20:27:09,2015-10-04 21:54:32,63.0,deloitte.ca
Closed Lost,001E0000019fCmgIAE,SoftVu - June ever,2015-05-08 22:14:39,2015-10-04 21:58:20,6.0,
Closed Lost,001E0000019f9ADIAY,York Region District School Board - November Conference,2015-05-07 23:24:51,2015-10-04 21:56:34,146.0,
Closed Lost,001E000000nP0xXIAS,AccountMate's Business Partner RoundTable 2015,2015-05-07 16:30:39,2015-11-13 23:27:24,86.0,
Closed Lost,001E0000013EOGmIAO,ExitCertified - training events,2015-05-05 23:13:37,2015-10-04 21:57:10,51.0,
Closed Lost,001E000000nP1hKIAS,Pentaho - 2015 user conference,2015-05-04 22:52:04,2015-10-04 21:58:31,65.0,
Open,001E0000019eUSTIA2,Brief Media - 2016 event,2015-04-28 21:24:00,2015-11-29 10:20:20,307.0,
Closed Lost,001E0000019eZ7xIAE,Florida Assisted Living Federation of America-,2015-04-28 14:33:28,2015-10-04 21:56:45,63.0,
Closed Lost,001E0000019eO8PIAU,DeKalb County School District - Educational Conferences,2015-04-24 18:24:01,2015-10-04 21:55:21,67.0,
Closed Lost,001E0000019eJELIA2,Themed Entertainment Association - 2015 Conference,2015-04-23 16:23:35,2015-10-04 21:51:44,130.0,
Closed Lost,001E0000019eGPwIAM,Association of Change Management Professionals - 365 app,2015-04-22 16:44:25,2015-10-04 21:56:22,114.0,
Closed Lost,001E000000nP334IAC,Companies House - Events 2015,2015-04-21 08:39:20,2015-10-04 21:52:09,40.0,
Open,001E0000019dvq6IAA,HIMSS - Central and Southern Ohio - 2015 Events,2015-04-16 17:54:04,2015-11-29 10:20:20,290.0,
Closed Lost,001E0000019dL6YIAU,CU Conferences - 2015 conferences,2015-04-13 15:34:14,2015-10-04 22:00:40,58.0,
Closed Lost,001E000000lnW5TIAU,Steak n Shake Franchisee Events,2015-04-09 16:37:26,2015-10-04 21:59:52,88.0,
Closed Lost,001E0000019dAEMIA2,Intel Microelectonics Asia LLC.  - October Japan Conference,2015-04-07 09:25:39,2015-10-04 22:00:03,87.0,
Closed Won,001E000000v4xq9IAA,Xymogen Experience 2016,2015-04-06 19:47:44,2015-12-01 22:35:30,45.0,xymogen.com
Closed Lost,001E0000019c8QZIAY,Sayers Events 2015,2015-03-25 00:48:36,2015-10-04 21:59:29,27.0,
Closed Lost,001E0000019c8QZIAY,Sayers Events 2015,2015-03-25 00:28:40,2015-10-04 21:59:29,7.0,
Closed Lost,001E000000p8L88IAE,Simpler Media Group - 2015 Events,2015-03-17 22:40:24,2015-10-04 21:58:43,168.0,
Closed Won,001E000000kbJ9QIAU,Procter and Gamble Co. - 2015 Project Meetings,2015-02-03 00:31:14,2015-12-01 22:34:16,57.0,pg.com
Closed Lost,001E000000iBv1vIAC,Ryder - 2015 Leadership Summits,2015-01-27 16:29:27,2015-10-04 21:59:17,185.0,
Closed Won,001E0000010MGxyIAG,Getinge - 2015 Tradeshow,2015-01-14 16:05:01,2015-12-01 22:35:30,36.0,
